respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.228989634057839,0.24538961599933262
26708,0.06359867407358226,0.043203815192365484
26709,0.8571928520980374,0.8744463371633776
26710,0.6679887634993239,0.8252122315633983
26711,0.45489052363373816,0.5278236851673176
26712,0.8714627277293205,0.9457141386987082
26713,0.5908475747922152,0.38345358099398763
26714,0.26758377743956024,0.1812801610289536
26715,0.09824425113841784,0.10903130706068591
26716,0.4022790061585555,0.8842147236564507
26717,0.14091573660530587,0.48524690433976536
26718,0.5262127929147039,0.6328657981970257
26719,0.3239180694617157,0.8461771684649578
26720,0.1749374163188898,0.24415534068653533
26721,0.4579725906300722,0.39185279257776773
26722,0.12826079445061841,0.132751077221852
26723,0.817287215032457,0.8001024595600098
26724,0.26295624671779355,0.6166884976431567
26725,0.15224076901611674,0.11095888099319871
26726,0.07467884920363783,0.06286800265673673
26727,0.5700280107843525,0.8517733268015911
26728,0.5929563706473023,0.7053367342980318
26729,0.2205062415839504,0.27438058891890277
26730,0.14157870666130665,0.16211590187432584
26731,0.08341392760622714,0.17192030109714054
26732,0.2057601782035383,0.15299427319996903
26733,0.9708774112526563,0.9629109724212958
26734,0.8283811755133795,0.5451836805633223
26735,0.3937911818822573,0.5746995799104774
26736,0.13369653310346988,0.15630217511490854
26737,0.1028804651704573,0.09711091510057142
26738,0.876069435121356,0.8809213727258877
26739,0.23445703438389368,0.21252889471790007
26740,0.38451800984345086,0.15745645478944612
26741,0.5912742409289456,0.9353809862192114
26742,0.2719406192714405,0.3796855654646812
26743,0.10802605354968897,0.32417126433414195
26744,0.22262523746875618,0.780384694009154
26745,0.4753747130688197,0.9062084618018496
26746,0.38709197807434115,0.3257268995268305
26747,0.2759574743217866,0.2958188437471992
26748,0.2497750685226451,0.12243464413224119
26749,0.16953157937887398,0.6025830956611707
26750,0.8794643801232199,0.852067792048779
26751,0.7512473717727627,0.8189477560327852
26752,0.08946215083791642,0.07937868764060858
26753,0.5303596912975965,0.5389353303039215
26754,0.28806451093100666,0.504007277331584
26755,0.17881143360289808,0.31892129667307706
26756,0.06490438145004564,0.050425220428061246
26757,0.721053845349549,0.6552542179428903
26758,0.684333903520803,0.8161445634583618
26759,0.1208880897540942,0.17930049678010093
26760,0.05855518057102157,0.05763607633519199
26761,0.2650025361785026,0.5485474042568016
26762,0.34821542738821315,0.7927750506623731
26763,0.9591676426760499,0.9681793882199782
26764,0.9733413771035343,0.9689156068944212
26765,0.3940881608617464,0.7743294561243325
26766,0.26809220089217844,0.1690089244167633
26767,0.8919965918155345,0.7159082821312858
26768,0.1330353372442252,0.38468472361450795
26769,0.42121872622849815,0.2331353194584543
26770,0.551765028520978,0.7917316508460063
26771,0.09217702120811062,0.16926309260417013
26772,0.19073519775405676,0.424957251316708
26773,0.08489321389894412,0.342550625957002
26774,0.15050073332860825,0.3678209646066633
26775,0.27725372912546703,0.5641272791759666
26776,0.6261262415165307,0.3428917191384442
26777,0.2862251264456457,0.8767408970483516
26778,0.22823878198208344,0.1566485970481107
26779,0.3278847508403861,0.6880582858883502
26780,0.4635468317642916,0.9523003907880808
26781,0.3308044515831334,0.466233320735936
